batchId,runId,title,command,status,runType,userName,userId,projectOwnerName,projectOwnerId,projectName,projectId,runDurationSec,hardwareTier,hardwareTierCostCurrency,hardwareTierCostAmount,queuedTime,startTime,endTime,totalCostCurrency,totalCostAmount,computeClusterDetails
1642000041556,61deeaa8e64a6b517bb8de69,tune-hpo,"[Jupyter (Python, R, Julia) session ]",Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1006.092,small-k8s,USD,0,2022-01-12T14:50:16.052Z,2022-01-12T14:50:35.464Z,2022-01-12T15:07:21.556Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642001377017,61deeec0e64a6b517bb8de79,ray_test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1294.362,small-k8s,USD,0,2022-01-12T15:07:44.100Z,2022-01-12T15:08:02.655Z,2022-01-12T15:29:37.017Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642004764786,61defc20e64a6b517bb8debb,hyperparam-search,[JupyterLab session ],Error,Workspace,test-user-2,61b2499f2044e30af371ef14,test-user-2,61b2499f2044e30af371ef14,Dominik-Spark,61d6f9bee64a6b517bb8dc74,634.067,small-k8s,USD,0,2022-01-12T16:04:48.296Z,2022-01-12T16:15:30.719Z,2022-01-12T16:26:04.786Z,USD,0,
1642023454973,61defb05e64a6b517bb8dea7,ray_test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,20110.461,small-k8s,USD,0,2022-01-12T16:00:05.065Z,2022-01-12T16:02:24.512Z,2022-01-12T21:37:34.973Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642025223105,61df4ac2e64a6b517bb8e597,ray_test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1470.476,small-k8s,USD,0,2022-01-12T21:40:18.511Z,2022-01-12T21:42:32.629Z,2022-01-12T22:07:03.105Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642025307612,61df4b5ce64a6b517bb8e5aa,smeer,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1498.964,small-k8s,USD,0,2022-01-12T21:42:52.256Z,2022-01-12T21:43:28.648Z,2022-01-12T22:08:27.612Z,USD,0,
1642026447092,61df516de64a6b517bb8e5ce,smeer,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1088.058,small-k8s,USD,0,2022-01-12T22:08:45.736Z,2022-01-12T22:09:19.034Z,2022-01-12T22:27:27.092Z,USD,0,
1642027682338,61df55d4e64a6b517bb8e5e4,smeer,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1083.953,small-k8s,USD,0,2022-01-12T22:27:32.686Z,2022-01-12T22:29:58.385Z,2022-01-12T22:48:02.338Z,USD,0,
1642028922024,61df5e76e64a6b517bb8e62a,tt,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,45.323,small-k8s,USD,0,2022-01-12T23:04:22.811Z,2022-01-12T23:07:56.701Z,2022-01-12T23:08:42.024Z,USD,0,
1642029222285,61df5f92e64a6b517bb8e63d,tt,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,253.058,small-k8s,USD,0,2022-01-12T23:09:06.705Z,2022-01-12T23:09:29.227Z,2022-01-12T23:13:42.285Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'small-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'small-k8s', 'workerHardwareTierCostPerMinute': 0}"
